CITY_NAME,FIPS_CNTRY,POP_updated,POP_updated_year,POP_SOURCE_updated,city_type,
Al Ain,AE,496205,2015,CP,inland,
Ganja,AJ,299100,2019,CP,inland,capital w lake
Sevan,AM,18705,2022,CP,lake,
Bregenz,AU,29643,2024,CP,lake,
Bruges,BE,119869,2024,CP,inland,
Neum,BK,4653,2013,CP,coast,
Oruro,BL,264943,2012,CP,lake,
Salihorsk,BO,98590,2023,CP,lake,
Varna,BU,314607,2023,CP,coast,
Rumonge,BY,35931,2008,CP,lake,we change the capital to Gitega
Sihanoukville,CB,71082,2019,CP,coast,
Bol,CD,35963,2009,CP,lake,
Moanda,CG,74397,2004,CP,coast,
Assomada,CV,21297,2021,CP,inland,
Tartu,EN,95190,2021,CP,inland,
Assab,ER,44220,1997,CP,coast,
Bahir Dar,ET,350000,2022,CP,lake,
Batumi,GG,169095,2020,CP,coast,
Linden,GY,28674,2012,CP,inland,
Siofok,HU,23742,2022,CP,lake,
Selfoss,IC,9812,2024,CP,inland,
Al Faw,IZ,35836,2018,CP,coast,
Aqaba,JO,179027,2023,CP,coast,
Balykchy,KG,51487,2022,CP,lake,
Almaty,KZ,2161797,2023,CP,lake,
Daugavpils,LG,81074,2021,CP,inland,
Klaipeda,LH,159403,2024,CP,coast,
Khatgal,MG,3723,2021,CP,lake,
Karonga,MI,61609,2018,CP,lake,
Budva,MJ,20168,2023,CP,coast,
Ohrid,MK,38818,2021,CP,lake,
Raz El Ma,ML,4398,2009,CP,lake,to think about the population
Vacoas/Phoenix,MP,107433,2022,CP,inland,
Izki,MU,23159,2020,CP,inland,
N'Guigmi,NG,23670,2012,CP,lake,
Al Shahaniya,QA,67181,2020,CP,inland,
Constanta,RO,263688,2021,CP,coast,
Angeles,RP,462928,2020,CP,inland,
Gisenyi,RW,149209,2012,CP,lake,
Koper,SI,25913,2022,CP,coast,
Labayee,ST,1355,2022,CP,inland,
Geneva,SZ,206635,2023,CP,lake,
Arima,TD,33606,2011,CP,inland,
Konibodom,TI,54400,2022,CP,lake,
Trindade,TP,6685,2012,CP,inland,
Maliana,TT,13078,2022,CP,inland,
Turkmenbashi ,TX,86800,2004,CP,lake,
Mbarara,UG,221300,2020,CP,inland,capital w lake
Odesa,UP,1010537,2022,CP,coast,
Kattakurgan,UZ,93423,2023,CP,lake,
Siavonga,ZA,26951,2022,CP,lake,
Kariba,ZI,27450,2022,CP,lake,
Vatican City,VT,453,2019,CP,inland,
Ramallah,WE,38998,2017,CP,inland,
Al-Burayj,WE,43515,2017,CP,coast,this is a refugee camp
Maale,MV,137238,2022,CP,coast,
,,,,,,Lalita kicked LO and LU out because the lakes are smaller than 100 sqkm
